,File Name,Difficulty,Target,Original Count,Sub-sample Count,Sampled Ids
0,FloorPlan_Train3_4.json.gz,hard,AlarmClock,25,1,[72]
1,FloorPlan_Train3_4.json.gz,medium,AlarmClock,90,1,[63]
2,FloorPlan_Train3_4.json.gz,easy,AlarmClock,35,1,[29]
3,FloorPlan_Train3_4.json.gz,medium,Apple,29,1,[289]
4,FloorPlan_Train3_4.json.gz,hard,Apple,105,2,"[298, 249]"
5,FloorPlan_Train3_4.json.gz,easy,Apple,16,1,[293]
6,FloorPlan_Train3_4.json.gz,easy,BaseballBat,29,1,[371]
7,FloorPlan_Train3_4.json.gz,hard,BaseballBat,72,1,[386]
8,FloorPlan_Train3_4.json.gz,medium,BaseballBat,49,1,[353]
9,FloorPlan_Train3_4.json.gz,medium,BasketBall,80,1,[573]
10,FloorPlan_Train3_4.json.gz,easy,BasketBall,41,1,[563]
11,FloorPlan_Train3_4.json.gz,hard,BasketBall,29,1,[489]
12,FloorPlan_Train3_4.json.gz,easy,Bowl,24,1,[628]
13,FloorPlan_Train3_4.json.gz,medium,Bowl,21,1,[730]
14,FloorPlan_Train3_4.json.gz,hard,Bowl,105,2,"[619, 705]"
15,FloorPlan_Train3_4.json.gz,easy,GarbageCan,24,1,[770]
16,FloorPlan_Train3_4.json.gz,medium,GarbageCan,54,1,[813]
17,FloorPlan_Train3_4.json.gz,hard,GarbageCan,72,1,[829]
18,FloorPlan_Train3_4.json.gz,easy,HousePlant,30,1,[918]
19,FloorPlan_Train3_4.json.gz,medium,HousePlant,93,1,[1018]
20,FloorPlan_Train3_4.json.gz,hard,HousePlant,27,1,[937]
21,FloorPlan_Train3_4.json.gz,hard,Laptop,103,2,"[1153, 1082]"
22,FloorPlan_Train3_4.json.gz,easy,Laptop,19,1,[1168]
23,FloorPlan_Train3_4.json.gz,medium,Laptop,28,1,[1144]
24,FloorPlan_Train3_4.json.gz,medium,Mug,82,1,[1252]
25,FloorPlan_Train3_4.json.gz,easy,Mug,43,1,[1240]
26,FloorPlan_Train3_4.json.gz,hard,Mug,25,1,[1226]
27,FloorPlan_Train3_4.json.gz,easy,SprayBottle,35,1,[1365]
28,FloorPlan_Train3_4.json.gz,medium,SprayBottle,72,1,[1403]
29,FloorPlan_Train3_4.json.gz,hard,SprayBottle,43,1,[1422]
30,FloorPlan_Train3_4.json.gz,medium,Television,84,1,[1606]
31,FloorPlan_Train3_4.json.gz,easy,Television,35,1,[1583]
32,FloorPlan_Train3_4.json.gz,hard,Television,31,1,[1623]
33,FloorPlan_Train3_4.json.gz,hard,Vase,84,1,[1756]
34,FloorPlan_Train3_4.json.gz,medium,Vase,45,1,[1689]
35,FloorPlan_Train3_4.json.gz,easy,Vase,21,1,[1742]
0,FloorPlan_Train3_2.json.gz,medium,AlarmClock,84,1,[10]
1,FloorPlan_Train3_2.json.gz,hard,AlarmClock,46,1,[96]
2,FloorPlan_Train3_2.json.gz,easy,AlarmClock,20,1,[108]
3,FloorPlan_Train3_2.json.gz,hard,Apple,86,1,[266]
4,FloorPlan_Train3_2.json.gz,easy,Apple,24,1,[189]
5,FloorPlan_Train3_2.json.gz,medium,Apple,40,1,[154]
6,FloorPlan_Train3_2.json.gz,medium,BaseballBat,75,1,[324]
7,FloorPlan_Train3_2.json.gz,hard,BaseballBat,57,1,[440]
8,FloorPlan_Train3_2.json.gz,easy,BaseballBat,18,1,[369]
9,FloorPlan_Train3_2.json.gz,hard,BasketBall,78,1,[536]
10,FloorPlan_Train3_2.json.gz,medium,BasketBall,51,1,[589]
11,FloorPlan_Train3_2.json.gz,easy,BasketBall,21,1,[454]
12,FloorPlan_Train3_2.json.gz,hard,Bowl,67,1,[635]
13,FloorPlan_Train3_2.json.gz,medium,Bowl,56,1,[731]
14,FloorPlan_Train3_2.json.gz,easy,Bowl,27,1,[726]
15,FloorPlan_Train3_2.json.gz,hard,GarbageCan,50,1,[826]
16,FloorPlan_Train3_2.json.gz,medium,GarbageCan,77,1,[892]
17,FloorPlan_Train3_2.json.gz,easy,GarbageCan,23,1,[843]
18,FloorPlan_Train3_2.json.gz,hard,HousePlant,80,1,[939]
19,FloorPlan_Train3_2.json.gz,medium,HousePlant,50,1,[922]
20,FloorPlan_Train3_2.json.gz,easy,HousePlant,20,1,[941]
21,FloorPlan_Train3_2.json.gz,hard,Laptop,61,1,[1112]
22,FloorPlan_Train3_2.json.gz,medium,Laptop,73,1,[1122]
23,FloorPlan_Train3_2.json.gz,easy,Laptop,16,1,[1115]
24,FloorPlan_Train3_2.json.gz,hard,Mug,64,1,[1308]
25,FloorPlan_Train3_2.json.gz,medium,Mug,49,1,[1309]
26,FloorPlan_Train3_2.json.gz,easy,Mug,37,1,[1213]
27,FloorPlan_Train3_2.json.gz,medium,SprayBottle,67,1,[1366]
28,FloorPlan_Train3_2.json.gz,easy,SprayBottle,38,1,[1397]
29,FloorPlan_Train3_2.json.gz,hard,SprayBottle,45,1,[1362]
30,FloorPlan_Train3_2.json.gz,easy,Television,89,1,[1532]
31,FloorPlan_Train3_2.json.gz,hard,Television,2,1,[1527]
32,FloorPlan_Train3_2.json.gz,medium,Television,59,1,[1633]
33,FloorPlan_Train3_2.json.gz,hard,Vase,84,1,[1766]
34,FloorPlan_Train3_2.json.gz,medium,Vase,40,1,[1774]
35,FloorPlan_Train3_2.json.gz,easy,Vase,26,1,[1788]
0,FloorPlan_Train6_4.json.gz,hard,AlarmClock,104,2,"[143, 25]"
1,FloorPlan_Train6_4.json.gz,medium,AlarmClock,30,1,[80]
2,FloorPlan_Train6_4.json.gz,easy,AlarmClock,16,1,[24]
3,FloorPlan_Train6_4.json.gz,medium,Apple,64,1,[284]
4,FloorPlan_Train6_4.json.gz,hard,Apple,62,1,[273]
5,FloorPlan_Train6_4.json.gz,easy,Apple,24,1,[250]
6,FloorPlan_Train6_4.json.gz,hard,BaseballBat,89,1,[315]
7,FloorPlan_Train6_4.json.gz,medium,BaseballBat,32,1,[433]
8,FloorPlan_Train6_4.json.gz,easy,BaseballBat,29,1,[411]
9,FloorPlan_Train6_4.json.gz,hard,BasketBall,34,1,[599]
10,FloorPlan_Train6_4.json.gz,easy,BasketBall,48,1,[451]
11,FloorPlan_Train6_4.json.gz,medium,BasketBall,68,1,[462]
12,FloorPlan_Train6_4.json.gz,hard,Bowl,92,1,[695]
13,FloorPlan_Train6_4.json.gz,medium,Bowl,33,1,[628]
14,FloorPlan_Train6_4.json.gz,easy,Bowl,25,1,[715]
15,FloorPlan_Train6_4.json.gz,easy,GarbageCan,41,1,[849]
16,FloorPlan_Train6_4.json.gz,hard,GarbageCan,76,1,[816]
17,FloorPlan_Train6_4.json.gz,medium,GarbageCan,33,1,[834]
18,FloorPlan_Train6_4.json.gz,easy,HousePlant,25,1,[951]
19,FloorPlan_Train6_4.json.gz,hard,HousePlant,42,1,[937]
20,FloorPlan_Train6_4.json.gz,medium,HousePlant,83,1,[931]
21,FloorPlan_Train6_4.json.gz,medium,Laptop,71,1,[1057]
22,FloorPlan_Train6_4.json.gz,hard,Laptop,43,1,[1141]
23,FloorPlan_Train6_4.json.gz,easy,Laptop,36,1,[1108]
24,FloorPlan_Train6_4.json.gz,hard,Mug,40,1,[1299]
25,FloorPlan_Train6_4.json.gz,medium,Mug,77,1,[1210]
26,FloorPlan_Train6_4.json.gz,easy,Mug,33,1,[1273]
27,FloorPlan_Train6_4.json.gz,medium,SprayBottle,83,1,[1379]
28,FloorPlan_Train6_4.json.gz,hard,SprayBottle,43,1,[1377]
29,FloorPlan_Train6_4.json.gz,easy,SprayBottle,24,1,[1422]
30,FloorPlan_Train6_4.json.gz,easy,Television,40,1,[1578]
31,FloorPlan_Train6_4.json.gz,medium,Television,82,1,[1581]
32,FloorPlan_Train6_4.json.gz,hard,Television,28,1,[1599]
33,FloorPlan_Train6_4.json.gz,hard,Vase,67,1,[1753]
34,FloorPlan_Train6_4.json.gz,medium,Vase,72,1,[1784]
35,FloorPlan_Train6_4.json.gz,easy,Vase,11,1,[1685]
0,FloorPlan_Train3_5.json.gz,medium,AlarmClock,61,1,[62]
1,FloorPlan_Train3_5.json.gz,hard,AlarmClock,63,1,[85]
2,FloorPlan_Train3_5.json.gz,easy,AlarmClock,26,1,[5]
3,FloorPlan_Train3_5.json.gz,hard,Apple,66,1,[268]
4,FloorPlan_Train3_5.json.gz,medium,Apple,52,1,[246]
5,FloorPlan_Train3_5.json.gz,easy,Apple,32,1,[213]
6,FloorPlan_Train3_5.json.gz,easy,BaseballBat,39,1,[386]
7,FloorPlan_Train3_5.json.gz,medium,BaseballBat,78,1,[304]
8,FloorPlan_Train3_5.json.gz,hard,BaseballBat,33,1,[398]
9,FloorPlan_Train3_5.json.gz,easy,BasketBall,30,1,[534]
10,FloorPlan_Train3_5.json.gz,hard,BasketBall,43,1,[590]
11,FloorPlan_Train3_5.json.gz,medium,BasketBall,77,1,[499]
12,FloorPlan_Train3_5.json.gz,medium,Bowl,35,1,[603]
13,FloorPlan_Train3_5.json.gz,easy,Bowl,28,1,[650]
14,FloorPlan_Train3_5.json.gz,hard,Bowl,87,1,[645]
15,FloorPlan_Train3_5.json.gz,hard,GarbageCan,82,1,[794]
16,FloorPlan_Train3_5.json.gz,medium,GarbageCan,42,1,[778]
17,FloorPlan_Train3_5.json.gz,easy,GarbageCan,26,1,[795]
18,FloorPlan_Train3_5.json.gz,easy,HousePlant,22,1,[939]
19,FloorPlan_Train3_5.json.gz,medium,HousePlant,62,1,[971]
20,FloorPlan_Train3_5.json.gz,hard,HousePlant,66,1,[915]
21,FloorPlan_Train3_5.json.gz,hard,Laptop,43,1,[1155]
22,FloorPlan_Train3_5.json.gz,medium,Laptop,85,1,[1131]
23,FloorPlan_Train3_5.json.gz,easy,Laptop,22,1,[1199]
24,FloorPlan_Train3_5.json.gz,medium,Mug,66,1,[1303]
25,FloorPlan_Train3_5.json.gz,hard,Mug,62,1,[1215]
26,FloorPlan_Train3_5.json.gz,easy,Mug,22,1,[1260]
27,FloorPlan_Train3_5.json.gz,medium,SprayBottle,67,1,[1466]
28,FloorPlan_Train3_5.json.gz,hard,SprayBottle,69,1,[1357]
29,FloorPlan_Train3_5.json.gz,easy,SprayBottle,14,1,[1385]
30,FloorPlan_Train3_5.json.gz,easy,Television,79,1,[1631]
31,FloorPlan_Train3_5.json.gz,medium,Television,70,1,[1605]
32,FloorPlan_Train3_5.json.gz,hard,Television,1,1,[1616]
33,FloorPlan_Train3_5.json.gz,medium,Vase,25,1,[1650]
34,FloorPlan_Train3_5.json.gz,hard,Vase,105,2,"[1696, 1684]"
35,FloorPlan_Train3_5.json.gz,easy,Vase,20,1,[1716]
0,FloorPlan_Train12_5.json.gz,hard,AlarmClock,68,1,[75]
1,FloorPlan_Train12_5.json.gz,medium,AlarmClock,65,1,[119]
2,FloorPlan_Train12_5.json.gz,easy,AlarmClock,17,1,[81]
3,FloorPlan_Train12_5.json.gz,hard,Apple,67,1,[284]
4,FloorPlan_Train12_5.json.gz,easy,Apple,23,1,[224]
5,FloorPlan_Train12_5.json.gz,medium,Apple,60,1,[286]
6,FloorPlan_Train12_5.json.gz,easy,BaseballBat,51,1,[316]
7,FloorPlan_Train12_5.json.gz,medium,BaseballBat,79,1,[344]
8,FloorPlan_Train12_5.json.gz,hard,BaseballBat,20,1,[304]
9,FloorPlan_Train12_5.json.gz,hard,BasketBall,89,1,[456]
10,FloorPlan_Train12_5.json.gz,medium,BasketBall,43,1,[503]
11,FloorPlan_Train12_5.json.gz,easy,BasketBall,18,1,[480]
12,FloorPlan_Train12_5.json.gz,medium,Bowl,34,1,[658]
13,FloorPlan_Train12_5.json.gz,easy,Bowl,27,1,[679]
14,FloorPlan_Train12_5.json.gz,hard,Bowl,89,1,[736]
15,FloorPlan_Train12_5.json.gz,hard,GarbageCan,71,1,[861]
16,FloorPlan_Train12_5.json.gz,easy,GarbageCan,19,1,[870]
17,FloorPlan_Train12_5.json.gz,medium,GarbageCan,60,1,[885]
18,FloorPlan_Train12_5.json.gz,hard,HousePlant,62,1,[1046]
19,FloorPlan_Train12_5.json.gz,medium,HousePlant,60,1,[903]
20,FloorPlan_Train12_5.json.gz,easy,HousePlant,28,1,[917]
21,FloorPlan_Train12_5.json.gz,medium,Laptop,72,1,[1079]
22,FloorPlan_Train12_5.json.gz,easy,Laptop,39,1,[1148]
23,FloorPlan_Train12_5.json.gz,hard,Laptop,39,1,[1138]
24,FloorPlan_Train12_5.json.gz,easy,Mug,27,1,[1266]
25,FloorPlan_Train12_5.json.gz,hard,Mug,55,1,[1341]
26,FloorPlan_Train12_5.json.gz,medium,Mug,68,1,[1217]
27,FloorPlan_Train12_5.json.gz,easy,SprayBottle,19,1,[1415]
28,FloorPlan_Train12_5.json.gz,hard,SprayBottle,46,1,[1351]
29,FloorPlan_Train12_5.json.gz,medium,SprayBottle,85,1,[1475]
30,FloorPlan_Train12_5.json.gz,hard,Television,23,1,[1574]
31,FloorPlan_Train12_5.json.gz,medium,Television,76,1,[1614]
