,File Name,Difficulty,Target,Original Count,Sub-sample Count,Sampled Ids
0,FloorPlan_Train3_1.json.gz,medium,AlarmClock,78,2,"[104, 14]"
1,FloorPlan_Train3_1.json.gz,easy,AlarmClock,39,1,[6]
2,FloorPlan_Train3_1.json.gz,hard,AlarmClock,33,1,[141]
3,FloorPlan_Train3_1.json.gz,hard,Apple,95,3,"[258, 218, 206]"
4,FloorPlan_Train3_1.json.gz,medium,Apple,42,2,"[213, 159]"
5,FloorPlan_Train3_1.json.gz,easy,Apple,13,1,[289]
6,FloorPlan_Train3_1.json.gz,easy,BaseballBat,13,1,[300]
7,FloorPlan_Train3_1.json.gz,hard,BaseballBat,81,3,"[371, 418, 397]"
8,FloorPlan_Train3_1.json.gz,medium,BaseballBat,56,2,"[334, 444]"
9,FloorPlan_Train3_1.json.gz,medium,BasketBall,84,3,"[522, 539, 478]"
10,FloorPlan_Train3_1.json.gz,hard,BasketBall,28,1,[515]
11,FloorPlan_Train3_1.json.gz,easy,BasketBall,38,1,[487]
12,FloorPlan_Train3_1.json.gz,easy,Bowl,38,1,[635]
13,FloorPlan_Train3_1.json.gz,medium,Bowl,83,3,"[672, 728, 683]"
14,FloorPlan_Train3_1.json.gz,hard,Bowl,29,1,[702]
15,FloorPlan_Train3_1.json.gz,medium,GarbageCan,46,2,"[753, 766]"
16,FloorPlan_Train3_1.json.gz,hard,GarbageCan,86,3,"[811, 767, 830]"
17,FloorPlan_Train3_1.json.gz,easy,GarbageCan,18,1,[836]
18,FloorPlan_Train3_1.json.gz,medium,HousePlant,63,2,"[1041, 940]"
19,FloorPlan_Train3_1.json.gz,easy,HousePlant,77,2,"[1044, 954]"
20,FloorPlan_Train3_1.json.gz,hard,HousePlant,10,1,[980]
21,FloorPlan_Train3_1.json.gz,hard,Laptop,85,3,"[1137, 1055, 1105]"
22,FloorPlan_Train3_1.json.gz,medium,Laptop,47,2,"[1196, 1125]"
23,FloorPlan_Train3_1.json.gz,easy,Laptop,18,1,[1078]
24,FloorPlan_Train3_1.json.gz,medium,Mug,48,2,"[1295, 1315]"
25,FloorPlan_Train3_1.json.gz,easy,Mug,33,1,[1259]
26,FloorPlan_Train3_1.json.gz,hard,Mug,69,2,"[1208, 1323]"
27,FloorPlan_Train3_1.json.gz,medium,SprayBottle,74,2,"[1361, 1458]"
28,FloorPlan_Train3_1.json.gz,hard,SprayBottle,50,2,"[1382, 1387]"
29,FloorPlan_Train3_1.json.gz,easy,SprayBottle,26,1,[1464]
30,FloorPlan_Train3_1.json.gz,hard,Television,92,3,"[1618, 1538, 1638]"
31,FloorPlan_Train3_1.json.gz,medium,Television,38,1,[1621]
32,FloorPlan_Train3_1.json.gz,easy,Television,20,1,[1566]
33,FloorPlan_Train3_1.json.gz,hard,Vase,62,2,"[1659, 1791]"
34,FloorPlan_Train3_1.json.gz,easy,Vase,19,1,[1708]
35,FloorPlan_Train3_1.json.gz,medium,Vase,69,2,"[1755, 1700]"
0,FloorPlan_Train4_2.json.gz,medium,AlarmClock,82,3,"[39, 98, 132]"
1,FloorPlan_Train4_2.json.gz,easy,AlarmClock,32,1,[52]
2,FloorPlan_Train4_2.json.gz,hard,AlarmClock,36,1,[54]
3,FloorPlan_Train4_2.json.gz,hard,Apple,75,2,"[259, 159]"
4,FloorPlan_Train4_2.json.gz,medium,Apple,65,2,"[224, 260]"
5,FloorPlan_Train4_2.json.gz,easy,Apple,10,1,[264]
6,FloorPlan_Train4_2.json.gz,medium,BaseballBat,68,2,"[379, 429]"
7,FloorPlan_Train4_2.json.gz,hard,BaseballBat,48,2,"[301, 337]"
8,FloorPlan_Train4_2.json.gz,easy,BaseballBat,34,1,[432]
9,FloorPlan_Train4_2.json.gz,hard,BasketBall,57,2,"[460, 514]"
10,FloorPlan_Train4_2.json.gz,easy,BasketBall,23,1,[582]
11,FloorPlan_Train4_2.json.gz,medium,BasketBall,70,2,"[574, 531]"
12,FloorPlan_Train4_2.json.gz,easy,Bowl,26,1,[635]
13,FloorPlan_Train4_2.json.gz,hard,Bowl,76,2,"[726, 709]"
14,FloorPlan_Train4_2.json.gz,medium,Bowl,48,2,"[704, 674]"
15,FloorPlan_Train4_2.json.gz,hard,GarbageCan,83,3,"[852, 878, 784]"
16,FloorPlan_Train4_2.json.gz,medium,GarbageCan,48,2,"[785, 788]"
17,FloorPlan_Train4_2.json.gz,easy,GarbageCan,19,1,[838]
18,FloorPlan_Train4_2.json.gz,easy,HousePlant,37,1,[957]
19,FloorPlan_Train4_2.json.gz,hard,HousePlant,73,2,"[971, 966]"
20,FloorPlan_Train4_2.json.gz,medium,HousePlant,40,1,[955]
21,FloorPlan_Train4_2.json.gz,medium,Laptop,53,2,"[1160, 1186]"
22,FloorPlan_Train4_2.json.gz,easy,Laptop,47,2,"[1061, 1056]"
23,FloorPlan_Train4_2.json.gz,hard,Laptop,50,2,"[1057, 1133]"
24,FloorPlan_Train4_2.json.gz,easy,Mug,36,1,[1311]
25,FloorPlan_Train4_2.json.gz,hard,Mug,66,2,"[1247, 1326]"
26,FloorPlan_Train4_2.json.gz,medium,Mug,48,2,"[1219, 1217]"
27,FloorPlan_Train4_2.json.gz,medium,SprayBottle,56,2,"[1374, 1474]"
28,FloorPlan_Train4_2.json.gz,hard,SprayBottle,64,2,"[1428, 1432]"
29,FloorPlan_Train4_2.json.gz,easy,SprayBottle,30,1,[1482]
30,FloorPlan_Train4_2.json.gz,medium,Television,57,2,"[1500, 1538]"
31,FloorPlan_Train4_2.json.gz,hard,Television,76,2,"[1534, 1526]"
32,FloorPlan_Train4_2.json.gz,easy,Television,17,1,[1519]
33,FloorPlan_Train4_2.json.gz,medium,Vase,94,3,"[1703, 1755, 1717]"
34,FloorPlan_Train4_2.json.gz,easy,Vase,40,1,[1724]
35,FloorPlan_Train4_2.json.gz,hard,Vase,16,1,[1710]
0,FloorPlan_Train7_4.json.gz,medium,AlarmClock,72,2,"[93, 59]"
1,FloorPlan_Train7_4.json.gz,hard,AlarmClock,38,1,[43]
2,FloorPlan_Train7_4.json.gz,easy,AlarmClock,40,1,[146]
3,FloorPlan_Train7_4.json.gz,medium,Apple,83,3,"[233, 213, 183]"
4,FloorPlan_Train7_4.json.gz,easy,Apple,43,2,"[247, 267]"
5,FloorPlan_Train7_4.json.gz,hard,Apple,24,1,[277]
6,FloorPlan_Train7_4.json.gz,medium,BaseballBat,89,3,"[311, 346, 310]"
