,File Name,Difficulty,Target,Original Count,Sub-sample Count,Sampled Ids
0,FloorPlan_Train3_4.json.gz,hard,AlarmClock,25,2,"[87, 38]"
1,FloorPlan_Train3_4.json.gz,medium,AlarmClock,90,5,"[53, 131, 101, 19, 37]"
2,FloorPlan_Train3_4.json.gz,easy,AlarmClock,35,2,"[118, 70]"
3,FloorPlan_Train3_4.json.gz,medium,Apple,29,2,"[247, 150]"
4,FloorPlan_Train3_4.json.gz,hard,Apple,105,6,"[196, 207, 288, 218, 173, 209]"
5,FloorPlan_Train3_4.json.gz,easy,Apple,16,1,[161]
6,FloorPlan_Train3_4.json.gz,easy,BaseballBat,29,2,"[300, 323]"
7,FloorPlan_Train3_4.json.gz,hard,BaseballBat,72,4,"[346, 426, 436, 411]"
8,FloorPlan_Train3_4.json.gz,medium,BaseballBat,49,3,"[317, 322, 311]"
9,FloorPlan_Train3_4.json.gz,medium,BasketBall,80,4,"[553, 485, 474, 450]"
10,FloorPlan_Train3_4.json.gz,easy,BasketBall,41,3,"[512, 571, 460]"
11,FloorPlan_Train3_4.json.gz,hard,BasketBall,29,2,"[504, 578]"
12,FloorPlan_Train3_4.json.gz,easy,Bowl,24,2,"[600, 706]"
13,FloorPlan_Train3_4.json.gz,medium,Bowl,21,2,"[725, 604]"
14,FloorPlan_Train3_4.json.gz,hard,Bowl,105,6,"[639, 744, 741, 714, 640, 747]"
15,FloorPlan_Train3_4.json.gz,easy,GarbageCan,24,2,"[863, 862]"
16,FloorPlan_Train3_4.json.gz,medium,GarbageCan,54,3,"[860, 751, 799]"
17,FloorPlan_Train3_4.json.gz,hard,GarbageCan,72,4,"[858, 828, 802, 837]"
18,FloorPlan_Train3_4.json.gz,easy,HousePlant,30,2,"[900, 1001]"
19,FloorPlan_Train3_4.json.gz,medium,HousePlant,93,5,"[938, 991, 1024, 955, 994]"
20,FloorPlan_Train3_4.json.gz,hard,HousePlant,27,2,"[953, 1032]"
