INFO:root:Running: /home/dyung6/robustnav/datasets/robothor-objectnav/train/episodes
INFO:root:Beginning on: FloorPlan_Train3_4.json.gz
INFO:root:File name: FloorPlan_Train3_4.json.gz, key: ('hard', 'AlarmClock'), original count: 25, sub-sample count: 1, sampled ids: [72]
INFO:root:File name: FloorPlan_Train3_4.json.gz, key: ('medium', 'AlarmClock'), original count: 90, sub-sample count: 1, sampled ids: [63]
INFO:root:File name: FloorPlan_Train3_4.json.gz, key: ('easy', 'AlarmClock'), original count: 35, sub-sample count: 1, sampled ids: [29]
INFO:root:File name: FloorPlan_Train3_4.json.gz, key: ('medium', 'Apple'), original count: 29, sub-sample count: 1, sampled ids: [289]
INFO:root:File name: FloorPlan_Train3_4.json.gz, key: ('hard', 'Apple'), original count: 105, sub-sample count: 2, sampled ids: [298, 249]
INFO:root:File name: FloorPlan_Train3_4.json.gz, key: ('easy', 'Apple'), original count: 16, sub-sample count: 1, sampled ids: [293]
INFO:root:File name: FloorPlan_Train3_4.json.gz, key: ('easy', 'BaseballBat'), original count: 29, sub-sample count: 1, sampled ids: [371]
INFO:root:File name: FloorPlan_Train3_4.json.gz, key: ('hard', 'BaseballBat'), original count: 72, sub-sample count: 1, sampled ids: [386]
INFO:root:File name: FloorPlan_Train3_4.json.gz, key: ('medium', 'BaseballBat'), original count: 49, sub-sample count: 1, sampled ids: [353]
INFO:root:File name: FloorPlan_Train3_4.json.gz, key: ('medium', 'BasketBall'), original count: 80, sub-sample count: 1, sampled ids: [573]
INFO:root:File name: FloorPlan_Train3_4.json.gz, key: ('easy', 'BasketBall'), original count: 41, sub-sample count: 1, sampled ids: [563]
INFO:root:File name: FloorPlan_Train3_4.json.gz, key: ('hard', 'BasketBall'), original count: 29, sub-sample count: 1, sampled ids: [489]
INFO:root:File name: FloorPlan_Train3_4.json.gz, key: ('easy', 'Bowl'), original count: 24, sub-sample count: 1, sampled ids: [628]
INFO:root:File name: FloorPlan_Train3_4.json.gz, key: ('medium', 'Bowl'), original count: 21, sub-sample count: 1, sampled ids: [730]
INFO:root:File name: FloorPlan_Train3_4.json.gz, key: ('hard', 'Bowl'), original count: 105, sub-sample count: 2, sampled ids: [619, 705]
INFO:root:File name: FloorPlan_Train3_4.json.gz, key: ('easy', 'GarbageCan'), original count: 24, sub-sample count: 1, sampled ids: [770]
INFO:root:File name: FloorPlan_Train3_4.json.gz, key: ('medium', 'GarbageCan'), original count: 54, sub-sample count: 1, sampled ids: [813]
INFO:root:File name: FloorPlan_Train3_4.json.gz, key: ('hard', 'GarbageCan'), original count: 72, sub-sample count: 1, sampled ids: [829]
INFO:root:File name: FloorPlan_Train3_4.json.gz, key: ('easy', 'HousePlant'), original count: 30, sub-sample count: 1, sampled ids: [918]
INFO:root:File name: FloorPlan_Train3_4.json.gz, key: ('medium', 'HousePlant'), original count: 93, sub-sample count: 1, sampled ids: [1018]
INFO:root:File name: FloorPlan_Train3_4.json.gz, key: ('hard', 'HousePlant'), original count: 27, sub-sample count: 1, sampled ids: [937]
INFO:root:File name: FloorPlan_Train3_4.json.gz, key: ('hard', 'Laptop'), original count: 103, sub-sample count: 2, sampled ids: [1153, 1082]
INFO:root:File name: FloorPlan_Train3_4.json.gz, key: ('easy', 'Laptop'), original count: 19, sub-sample count: 1, sampled ids: [1168]
INFO:root:File name: FloorPlan_Train3_4.json.gz, key: ('medium', 'Laptop'), original count: 28, sub-sample count: 1, sampled ids: [1144]
INFO:root:File name: FloorPlan_Train3_4.json.gz, key: ('medium', 'Mug'), original count: 82, sub-sample count: 1, sampled ids: [1252]
INFO:root:File name: FloorPlan_Train3_4.json.gz, key: ('easy', 'Mug'), original count: 43, sub-sample count: 1, sampled ids: [1240]
INFO:root:File name: FloorPlan_Train3_4.json.gz, key: ('hard', 'Mug'), original count: 25, sub-sample count: 1, sampled ids: [1226]
INFO:root:File name: FloorPlan_Train3_4.json.gz, key: ('easy', 'SprayBottle'), original count: 35, sub-sample count: 1, sampled ids: [1365]
INFO:root:File name: FloorPlan_Train3_4.json.gz, key: ('medium', 'SprayBottle'), original count: 72, sub-sample count: 1, sampled ids: [1403]
INFO:root:File name: FloorPlan_Train3_4.json.gz, key: ('hard', 'SprayBottle'), original count: 43, sub-sample count: 1, sampled ids: [1422]
INFO:root:File name: FloorPlan_Train3_4.json.gz, key: ('medium', 'Television'), original count: 84, sub-sample count: 1, sampled ids: [1606]
INFO:root:File name: FloorPlan_Train3_4.json.gz, key: ('easy', 'Television'), original count: 35, sub-sample count: 1, sampled ids: [1583]
INFO:root:File name: FloorPlan_Train3_4.json.gz, key: ('hard', 'Television'), original count: 31, sub-sample count: 1, sampled ids: [1623]
INFO:root:File name: FloorPlan_Train3_4.json.gz, key: ('hard', 'Vase'), original count: 84, sub-sample count: 1, sampled ids: [1756]
INFO:root:File name: FloorPlan_Train3_4.json.gz, key: ('medium', 'Vase'), original count: 45, sub-sample count: 1, sampled ids: [1689]
INFO:root:File name: FloorPlan_Train3_4.json.gz, key: ('easy', 'Vase'), original count: 21, sub-sample count: 1, sampled ids: [1742]
INFO:root:Completed: FloorPlan_Train3_4.json.gz
INFO:root:Beginning on: FloorPlan_Train3_2.json.gz
INFO:root:File name: FloorPlan_Train3_2.json.gz, key: ('medium', 'AlarmClock'), original count: 84, sub-sample count: 1, sampled ids: [10]
INFO:root:File name: FloorPlan_Train3_2.json.gz, key: ('hard', 'AlarmClock'), original count: 46, sub-sample count: 1, sampled ids: [96]
INFO:root:File name: FloorPlan_Train3_2.json.gz, key: ('easy', 'AlarmClock'), original count: 20, sub-sample count: 1, sampled ids: [108]
INFO:root:File name: FloorPlan_Train3_2.json.gz, key: ('hard', 'Apple'), original count: 86, sub-sample count: 1, sampled ids: [266]
INFO:root:File name: FloorPlan_Train3_2.json.gz, key: ('easy', 'Apple'), original count: 24, sub-sample count: 1, sampled ids: [189]
INFO:root:File name: FloorPlan_Train3_2.json.gz, key: ('medium', 'Apple'), original count: 40, sub-sample count: 1, sampled ids: [154]
INFO:root:File name: FloorPlan_Train3_2.json.gz, key: ('medium', 'BaseballBat'), original count: 75, sub-sample count: 1, sampled ids: [324]
INFO:root:File name: FloorPlan_Train3_2.json.gz, key: ('hard', 'BaseballBat'), original count: 57, sub-sample count: 1, sampled ids: [440]
INFO:root:File name: FloorPlan_Train3_2.json.gz, key: ('easy', 'BaseballBat'), original count: 18, sub-sample count: 1, sampled ids: [369]
INFO:root:File name: FloorPlan_Train3_2.json.gz, key: ('hard', 'BasketBall'), original count: 78, sub-sample count: 1, sampled ids: [536]
INFO:root:File name: FloorPlan_Train3_2.json.gz, key: ('medium', 'BasketBall'), original count: 51, sub-sample count: 1, sampled ids: [589]
INFO:root:File name: FloorPlan_Train3_2.json.gz, key: ('easy', 'BasketBall'), original count: 21, sub-sample count: 1, sampled ids: [454]
INFO:root:File name: FloorPlan_Train3_2.json.gz, key: ('hard', 'Bowl'), original count: 67, sub-sample count: 1, sampled ids: [635]
INFO:root:File name: FloorPlan_Train3_2.json.gz, key: ('medium', 'Bowl'), original count: 56, sub-sample count: 1, sampled ids: [731]
INFO:root:File name: FloorPlan_Train3_2.json.gz, key: ('easy', 'Bowl'), original count: 27, sub-sample count: 1, sampled ids: [726]
INFO:root:File name: FloorPlan_Train3_2.json.gz, key: ('hard', 'GarbageCan'), original count: 50, sub-sample count: 1, sampled ids: [826]
INFO:root:File name: FloorPlan_Train3_2.json.gz, key: ('medium', 'GarbageCan'), original count: 77, sub-sample count: 1, sampled ids: [892]
INFO:root:File name: FloorPlan_Train3_2.json.gz, key: ('easy', 'GarbageCan'), original count: 23, sub-sample count: 1, sampled ids: [843]
INFO:root:File name: FloorPlan_Train3_2.json.gz, key: ('hard', 'HousePlant'), original count: 80, sub-sample count: 1, sampled ids: [939]
INFO:root:File name: FloorPlan_Train3_2.json.gz, key: ('medium', 'HousePlant'), original count: 50, sub-sample count: 1, sampled ids: [922]
INFO:root:File name: FloorPlan_Train3_2.json.gz, key: ('easy', 'HousePlant'), original count: 20, sub-sample count: 1, sampled ids: [941]
INFO:root:File name: FloorPlan_Train3_2.json.gz, key: ('hard', 'Laptop'), original count: 61, sub-sample count: 1, sampled ids: [1112]
INFO:root:File name: FloorPlan_Train3_2.json.gz, key: ('medium', 'Laptop'), original count: 73, sub-sample count: 1, sampled ids: [1122]
INFO:root:File name: FloorPlan_Train3_2.json.gz, key: ('easy', 'Laptop'), original count: 16, sub-sample count: 1, sampled ids: [1115]
INFO:root:File name: FloorPlan_Train3_2.json.gz, key: ('hard', 'Mug'), original count: 64, sub-sample count: 1, sampled ids: [1308]
INFO:root:File name: FloorPlan_Train3_2.json.gz, key: ('medium', 'Mug'), original count: 49, sub-sample count: 1, sampled ids: [1309]
INFO:root:File name: FloorPlan_Train3_2.json.gz, key: ('easy', 'Mug'), original count: 37, sub-sample count: 1, sampled ids: [1213]
INFO:root:File name: FloorPlan_Train3_2.json.gz, key: ('medium', 'SprayBottle'), original count: 67, sub-sample count: 1, sampled ids: [1366]
INFO:root:File name: FloorPlan_Train3_2.json.gz, key: ('easy', 'SprayBottle'), original count: 38, sub-sample count: 1, sampled ids: [1397]
INFO:root:File name: FloorPlan_Train3_2.json.gz, key: ('hard', 'SprayBottle'), original count: 45, sub-sample count: 1, sampled ids: [1362]
INFO:root:File name: FloorPlan_Train3_2.json.gz, key: ('easy', 'Television'), original count: 89, sub-sample count: 1, sampled ids: [1532]
INFO:root:File name: FloorPlan_Train3_2.json.gz, key: ('hard', 'Television'), original count: 2, sub-sample count: 1, sampled ids: [1527]
